delay,loss,th
55,2,792000
55,0,1010000
55,0,996000
55,0,998000
55,0,1000000
55,0,992000
55,0,999000
55,0,986000
55,0,1000000
55,0,992000
55,0,1010000
55,0,1000000
55,0,998000
55,0,984000
55,0,1010000
55,0,994000
55,0,997000
55,0,1010000
55,0,988000
55,0,995000
55,0,1000000
55,3,975000
55,3,959000
55,2,965000
55,1,992000
55,0,989000
55,3,978000
55,0,1000000
55,0,995000
55,9,913000
55,4,940000
55,8,909000
55,14,853000
55,12,883000
55,10,891000
55,0,992000
55,0,990000
55,6,938000
55,0,1010000
55,0,995000
55,0,999000
55,0,995000
55,0,997000
55,0,999000
55,0,997000
55,0,995000
55,0,1010000
55,0,998000
55,0,998000
55,8,905000
55,0,1000000
55,0,1010000
55,0,993000
55,0,990000
55,0,995000
55,1,996000
55,0,999000
55,0,992000
55,16,835000
55,2,984000
55,2,964000
55,8,912000
55,0,949000
55,6,988000
55,6,926000
55,0,980000
55,4,954000
55,4,975000
55,0,982000
55,0,1040000
55,0,967000
55,0,995000
55,0,992000
55,0,1010000
55,0,987000
55,0,1000000
55,0,982000
55,1,985000
55,0,998000
55,0,993000
55,0,1010000
55,3,955000
55,4,970000
55,2,997000
55,0,970000
55,5,936000
55,4,956000
55,0,1010000
55,9,898000
55,0,991000
55,0,990000
55,4,954000
55,7,931000
55,2,968000
55,0,1010000
55,0,1000000
55,11,886000
55,0,997000
55,0,998000
55,2,972000
55,0,1050000
