,qoe
0,7.455640000000002
1,9.247000000000002
2,8.34368
3,9.94092
4,9.71888
5,9.605680000000001
6,9.75568
7,9.608839999999999
8,9.657320000000002
9,9.818600000000002
10,9.740680000000001
11,9.586160000000001
12,9.452760000000001
13,9.608920000000001
14,9.4952
15,9.59332
16,9.444880000000001
17,9.555280000000002
18,9.633600000000001
19,9.39896
20,9.469040000000001
21,9.535680000000001
22,9.216439999999999
23,9.321639999999999
24,9.50688
25,9.62236
26,9.41516
27,9.590160000000001
28,9.68864
29,9.51332
30,9.38384
31,5.434131007241607
32,10.277519999999999
33,9.271080000000001
34,8.474800000000002
35,8.818320000000003
36,8.976280000000001
37,8.83992
38,8.94284
39,9.52796
40,9.11592
41,9.096480000000001
42,9.361
43,9.38468
44,9.71
45,9.468600000000002
46,8.996720000000002
47,9.688320000000001
48,9.638119999999999
49,9.741280000000001
50,9.40116
51,9.238760000000001
52,9.30604
53,9.41048
54,9.586039999999999
55,9.78064
56,9.45932
57,9.37172
58,8.184439999999999
59,10.29548
60,9.5052
61,9.446720000000001
62,9.39708
63,9.604600000000001
64,9.56152
65,9.497480000000001
66,9.4438
67,9.592680000000001
68,9.346639999999999
69,9.59028
70,9.36176
71,9.351760000000002
72,9.6296
73,9.70964
74,9.599600000000002
75,9.539920000000002
76,9.421960000000002
77,9.615400000000001
78,9.63824
79,9.354960000000002
80,9.407960000000001
81,9.260080000000002
82,9.24928
83,9.413240000000002
84,9.330119999999999
85,9.3594
86,9.079960000000002
87,8.331760000000001
88,10.682240000000002
89,9.139600000000002
90,9.113520000000001
91,9.277840000000001
92,9.263320000000002
93,9.30892
94,9.386080000000002
95,9.010639999999999
96,8.853760000000001
97,8.922440000000002
98,9.3648
99,9.37648
100,9.484480000000001
